REPORT_DATE
-------------------
2025-03-05T17:55:28
PDB: DBRHU
---
TABLE_NAME                     OWNER.INDEX_NAME                      SAVING %         CURRENT SIZE       ESTIMATED SIZE  COMMAND
R028PVT                        RHSENIOR.USU_R028PVT_ID                58.8 %            1,995.0 MB             821.6 MB  ALTER INDEX rhsenior.usu_r028pvt_id REBUILD ONLINE;
R030STA                        RHSENIOR.R030STAINDICE1                31.9 %            1,921.4 MB           1,308.7 MB  ALTER INDEX rhsenior.r030staindice1 REBUILD ONLINE;
R995PRC                        RHSENIOR.CP_R995PRC                    71.8 %            1,809.6 MB             511.0 MB  ALTER INDEX rhsenior.cp_r995prc REBUILD ONLINE;
USU_TAPPPONTO                  RHSENIOR.CP_USU_TAPPPONTO              44.5 %            1,691.1 MB             937.8 MB  ALTER INDEX rhsenior.cp_usu_tappponto REBUILD ONLINE;
R350STA                        RHSENIOR.R350STAINDICE6                48.3 %            1,412.3 MB             729.8 MB  ALTER INDEX rhsenior.r350staindice6 REBUILD ONLINE;
R350STA                        RHSENIOR.R350STAINDICE3                44.8 %            1,406.2 MB             775.6 MB  ALTER INDEX rhsenior.r350staindice3 REBUILD ONLINE;
N180MEN                        EDOCS.IDX_N180MEN_005                  46.2 %            1,373.0 MB             738.2 MB  ALTER INDEX edocs.idx_n180men_005 REBUILD ONLINE;
R028PVT                        RHSENIOR.R028PVTINDICE2                42.3 %            1,359.9 MB             784.2 MB  ALTER INDEX rhsenior.r028pvtindice2 REBUILD ONLINE;
R048CTB                        RHSENIOR.R048CTBINDICE1                61.7 %            1,333.0 MB             510.5 MB  ALTER INDEX rhsenior.r048ctbindice1 REBUILD ONLINE;
R350STA                        RHSENIOR.R350STAINDICE2                61.7 %            1,248.2 MB             478.2 MB  ALTER INDEX rhsenior.r350staindice2 REBUILD ONLINE;
N180MEN                        EDOCS.IX_N180MEN_0                     48.1 %            1,195.1 MB             619.8 MB  ALTER INDEX edocs.ix_n180men_0 REBUILD ONLINE;
N180MEN                        EDOCS.PK_N180MEN                       48.0 %            1,191.8 MB             619.8 MB  ALTER INDEX edocs.pk_n180men REBUILD ONLINE;
N180MEN                        EDOCS.IDX_N180MEN_004                  30.2 %            1,184.5 MB             827.2 MB  ALTER INDEX edocs.idx_n180men_004 REBUILD ONLINE;
R975ACC                        RHSENIOR.CP_R975ACC                    30.2 %            1,181.2 MB             825.0 MB  ALTER INDEX rhsenior.cp_r975acc REBUILD ONLINE;
R070ACR                        RHSENIOR.USU_R070ACR_01                77.9 %            1,144.1 MB             252.9 MB  ALTER INDEX rhsenior.usu_r070acr_01 REBUILD ONLINE;
R349BDI                        RHSENIOR.R349BDIINDICE1                27.5 %            1,090.4 MB             790.6 MB  ALTER INDEX rhsenior.r349bdiindice1 REBUILD ONLINE;
R350STA                        RHSENIOR.R350STAINDICE7                41.2 %            1,008.1 MB             592.4 MB  ALTER INDEX rhsenior.r350staindice7 REBUILD ONLINE;
R051REN                        RHSENIOR.R051RENINDICE2                27.9 %              986.4 MB             710.7 MB  ALTER INDEX rhsenior.r051renindice2 REBUILD ONLINE;
R350IPE                        RHSENIOR.CP_R350IPE                    56.3 %              959.4 MB             419.2 MB  ALTER INDEX rhsenior.cp_r350ipe REBUILD ONLINE;
R350IPE                        RHSENIOR.R350IPEINDICE1                39.4 %              938.1 MB             568.1 MB  ALTER INDEX rhsenior.r350ipeindice1 REBUILD ONLINE;
R350STA                        RHSENIOR.R350STAINDICE1                45.5 %              876.8 MB             478.2 MB  ALTER INDEX rhsenior.r350staindice1 REBUILD ONLINE;
R070ACR                        RHSENIOR.R070ACRINDICE1                76.0 %              814.9 MB             195.8 MB  ALTER INDEX rhsenior.r070acrindice1 REBUILD ONLINE;
N180TRA                        EDOCS.UK_N180TRA_0                     38.7 %              776.6 MB             476.0 MB  ALTER INDEX edocs.uk_n180tra_0 REBUILD ONLINE;
USU_TFICHAFPW                  RHSENIOR.CP_USU_TFICHAFPW              26.5 %              758.6 MB             557.3 MB  ALTER INDEX rhsenior.cp_usu_tfichafpw REBUILD ONLINE;
R350TR0                        RHSENIOR.CP_R350TR0                    40.5 %              728.8 MB             433.5 MB  ALTER INDEX rhsenior.cp_r350tr0 REBUILD ONLINE;
R300LOG                        RHSENIOR.CP_R300LOG                    63.2 %              728.1 MB             268.2 MB  ALTER INDEX rhsenior.cp_r300log REBUILD ONLINE;
R350STP                        RHSENIOR.CP_R350STP                    42.0 %              687.4 MB             398.6 MB  ALTER INDEX rhsenior.cp_r350stp REBUILD ONLINE;
R350TR0                        RHSENIOR.R350TR0INDICE1                25.1 %              680.4 MB             509.9 MB  ALTER INDEX rhsenior.r350tr0indice1 REBUILD ONLINE;
R350DM0                        RHSENIOR.CP_R350DM0                    43.3 %              672.5 MB             381.1 MB  ALTER INDEX rhsenior.cp_r350dm0 REBUILD ONLINE;
R051EVE                        RHSENIOR.CP_R051EVE                    29.0 %              668.5 MB             474.5 MB  ALTER INDEX rhsenior.cp_r051eve REBUILD ONLINE;
R046PRV                        RHSENIOR.R046PRVINDICE2                57.6 %              664.5 MB             282.0 MB  ALTER INDEX rhsenior.r046prvindice2 REBUILD ONLINE;
R350RE0                        RHSENIOR.R350RE0INDICE2                66.0 %              660.8 MB             224.3 MB  ALTER INDEX rhsenior.r350re0indice2 REBUILD ONLINE;
R056SFP                        RHSENIOR.CP_R056SFP                    26.7 %              638.1 MB             467.8 MB  ALTER INDEX rhsenior.cp_r056sfp REBUILD ONLINE;
R350ME0                        RHSENIOR.CP_R350ME0                    36.6 %              632.6 MB             400.8 MB  ALTER INDEX rhsenior.cp_r350me0 REBUILD ONLINE;
N180TRA                        EDOCS.IX_N180TRA_0                     34.1 %              595.0 MB             392.0 MB  ALTER INDEX edocs.ix_n180tra_0 REBUILD ONLINE;
R056SFP                        RHSENIOR.R056SFPINDICE2                38.1 %              582.5 MB             360.4 MB  ALTER INDEX rhsenior.r056sfpindice2 REBUILD ONLINE;
R975ACC                        RHSENIOR.R975ACCR970ACCINDEX2          25.0 %              576.3 MB             432.0 MB  ALTER INDEX rhsenior.r975accr970accindex2 REBUILD ONLINE;
R350RE0                        RHSENIOR.R350RE0INDICE1                36.7 %              563.2 MB             356.7 MB  ALTER INDEX rhsenior.r350re0indice1 REBUILD ONLINE;
R038AFA                        RHSENIOR.R038AFAINDICE2                40.0 %              558.4 MB             334.8 MB  ALTER INDEX rhsenior.r038afaindice2 REBUILD ONLINE;
N180VIN                        EDOCS.IX_FK_N180VIN_3                  29.7 %              532.6 MB             374.3 MB  ALTER INDEX edocs.ix_fk_n180vin_3 REBUILD ONLINE;
R350PRT                        RHSENIOR.R350PRTINDICE2                65.6 %              528.2 MB             181.8 MB  ALTER INDEX rhsenior.r350prtindice2 REBUILD ONLINE;
R038AFA                        RHSENIOR.R038AFAINDICE3                56.2 %              523.9 MB             229.2 MB  ALTER INDEX rhsenior.r038afaindice3 REBUILD ONLINE;
R999PSF                        RHSENIOR.CP_R999PSF                    26.9 %              515.5 MB             376.9 MB  ALTER INDEX rhsenior.cp_r999psf REBUILD ONLINE;
R056DEP                        RHSENIOR.CP_R056DEP                    30.4 %              506.7 MB             352.8 MB  ALTER INDEX rhsenior.cp_r056dep REBUILD ONLINE;
R350PRT                        RHSENIOR.R350PRTINDICE1                36.5 %              471.0 MB             299.3 MB  ALTER INDEX rhsenior.r350prtindice1 REBUILD ONLINE;
R051EVE                        RHSENIOR.R051EVEINDICE2                29.2 %              454.4 MB             321.9 MB  ALTER INDEX rhsenior.r051eveindice2 REBUILD ONLINE;
R350RPA                        RHSENIOR.CP_R350RPA                    50.3 %              433.6 MB             215.7 MB  ALTER INDEX rhsenior.cp_r350rpa REBUILD ONLINE;
R062ALM                        RHSENIOR.R062ALMINDICE4                37.5 %              430.1 MB             268.6 MB  ALTER INDEX rhsenior.r062almindice4 REBUILD ONLINE;
R034RED                        RHSENIOR.CP_R034RED                    32.4 %              413.0 MB             279.2 MB  ALTER INDEX rhsenior.cp_r034red REBUILD ONLINE;
R062ALM                        RHSENIOR.R062ALMINDICE5                34.8 %              412.1 MB             268.6 MB  ALTER INDEX rhsenior.r062almindice5 REBUILD ONLINE;
R035RRA                        RHSENIOR.CP_R035RRA                    41.7 %              400.3 MB             233.3 MB  ALTER INDEX rhsenior.cp_r035rra REBUILD ONLINE;
R350RPA                        RHSENIOR.R350RPAINDICE1                25.1 %              399.0 MB             298.7 MB  ALTER INDEX rhsenior.r350rpaindice1 REBUILD ONLINE;
R062ALM                        RHSENIOR.R062ALMINDICE3                41.5 %              391.5 MB             228.9 MB  ALTER INDEX rhsenior.r062almindice3 REBUILD ONLINE;
R350PPA                        RHSENIOR.CP_R350PPA                    53.0 %              381.1 MB             179.3 MB  ALTER INDEX rhsenior.cp_r350ppa REBUILD ONLINE;
R350DPE                        RHSENIOR.CP_R350DPE                    40.4 %              369.4 MB             220.3 MB  ALTER INDEX rhsenior.cp_r350dpe REBUILD ONLINE;
R070DSP                        RHSENIOR.R070DSPINDICE8                92.5 %              365.8 MB              27.5 MB  ALTER INDEX rhsenior.r070dspindice8 REBUILD ONLINE;
R146BAS                        RHSENIOR.CP_R146BAS                    36.8 %              365.6 MB             231.1 MB  ALTER INDEX rhsenior.cp_r146bas REBUILD ONLINE;
R051TOT                        RHSENIOR.CP_R051TOT                    25.1 %              357.9 MB             268.2 MB  ALTER INDEX rhsenior.cp_r051tot REBUILD ONLINE;
R350PPA                        RHSENIOR.R350PPAINDICE1                30.4 %              356.8 MB             248.3 MB  ALTER INDEX rhsenior.r350ppaindice1 REBUILD ONLINE;
R124HCR                        RHSENIOR.R124HCRINDICE2                38.3 %              340.7 MB             210.3 MB  ALTER INDEX rhsenior.r124hcrindice2 REBUILD ONLINE;
R070DSP                        RHSENIOR.R070DSPINDICE2                91.3 %              333.0 MB              28.8 MB  ALTER INDEX rhsenior.r070dspindice2 REBUILD ONLINE;
R349IRP                        RHSENIOR.R349IRPINDICE1                25.1 %              325.4 MB             243.7 MB  ALTER INDEX rhsenior.r349irpindice1 REBUILD ONLINE;
